City,Country,Region,_time,count,isIP,isIPv6,isMissingLocation,isPrivateOrReserved,lat,lon,modifiedByPython,modifiedByPythonTimestamp,src
Oslo,Norway,Oslo County,2022-01-31T10:36:04.000+0100,3,true,false,false,false,59.95500,10.85900,,,84.209.137.137
,,,2022-01-31T10:31:36.000+0100,3372,true,false,true,false,,,,,169.254.1.140
Oslo,Norway,Oslo County,2022-01-31T10:31:25.000+0100,6,true,false,false,false,59.95500,10.85900,,,51.175.139.94
Kolsas,Norway,Viken,2022-01-31T10:30:57.000+0100,1037,true,false,false,false,59.91910,10.51340,,,193.161.48.4
Klofta,Norway,Viken,2022-01-31T10:29:10.000+0100,2,true,false,false,false,60.05220,11.13390,,,80.203.58.146
Oslo,Norway,Oslo County,2022-01-31T10:28:57.000+0100,12,true,false,false,false,59.95500,10.85900,,,51.175.225.205
Knarrevik,Norway,Vestland,2022-01-31T10:25:17.000+0100,2,true,false,false,false,60.37430,5.14840,,,89.8.175.247
Lommedalen,Norway,Viken,2022-01-31T10:23:38.000+0100,1,true,false,false,false,59.95420,10.49220,,,31.45.30.145
Oslo,Norway,Oslo County,2022-01-31T10:22:40.000+0100,1,true,false,false,false,59.95500,10.85900,,,82.102.27.99
Karlshus,Norway,Viken,2022-01-31T10:21:17.000+0100,5,true,false,false,false,59.29700,10.80010,,,193.91.166.42
Oslo,Norway,Oslo County,2022-01-31T10:21:07.000+0100,7,true,false,false,false,59.95500,10.85900,,,81.191.175.196
Oslo,Norway,Oslo County,2022-01-31T10:19:38.000+0100,1,true,false,false,false,59.95500,10.85900,,,158.39.193.97
,,,2022-01-31T10:17:15.000+0100,3071,true,false,true,false,,,,,169.254.1.236
,,,2022-01-31T10:17:03.000+0100,21,true,false,true,false,,,,,169.254.6.7
,Norway,,2022-01-31T10:16:16.000+0100,6,true,false,true,false,59.94520,10.75590,,,46.15.44.162
,,,2022-01-31T10:13:25.000+0100,25,true,false,true,false,,,,,169.254.4.94
,,,2022-01-31T10:12:53.000+0100,15,true,false,true,false,,,,,169.254.3.21
,,,2022-01-31T10:12:25.000+0100,2394,true,false,true,false,,,,,169.254.2.191
Oslo,Norway,Oslo County,2022-01-31T10:12:05.000+0100,1,true,false,false,false,59.95500,10.85900,,,46.46.193.109
Rykkin,Norway,Viken,2022-01-31T10:09:09.000+0100,1,true,false,false,false,59.92810,10.49650,,,88.88.51.157
,,,2022-01-31T10:08:53.000+0100,18,true,false,true,false,,,,,169.254.5.97
Oslo,Norway,Oslo County,2022-01-31T10:08:20.000+0100,2,true,false,false,false,59.95500,10.85900,,,51.175.97.247
,Norway,Oslo County,2022-01-31T10:06:14.000+0100,2,true,false,true,false,59.86360,10.79610,,,77.16.69.39
Oslo,Norway,Oslo County,2022-01-31T10:06:14.000+0100,1,true,false,false,false,59.95500,10.85900,,,37.120.203.190
Oslo,Norway,Oslo County,2022-01-31T10:04:19.000+0100,9,true,false,false,false,59.95500,10.85900,,,84.213.206.78
Lorenskog,Norway,Viken,2022-01-31T10:03:37.000+0100,7,true,false,false,false,59.93130,10.96430,,,80.212.231.168
Oslo,Norway,Oslo County,2022-01-31T09:58:04.000+0100,20,true,false,false,false,59.95500,10.85900,,,81.191.170.208
Oslo,Norway,Oslo County,2022-01-31T09:57:27.000+0100,28,true,false,false,false,59.92080,10.58400,,,148.83.251.25
Gjettum,Norway,Viken,2022-01-31T09:49:42.000+0100,2,true,false,false,false,59.90820,10.52160,,,88.95.78.176
Oslo,Norway,Oslo County,2022-01-31T09:48:27.000+0100,8,true,false,false,false,59.95500,10.85900,,,84.213.44.187
Oslo,Norway,Oslo County,2022-01-31T09:48:13.000+0100,3,true,false,false,false,59.95500,10.85900,,,195.139.196.61
Hasle,Norway,Viken,2022-01-31T09:47:51.000+0100,2,true,false,false,false,59.93350,10.58370,,,46.9.42.225
Blommenholm,Norway,Viken,2022-01-31T09:44:46.000+0100,5,true,false,false,false,59.89780,10.53630,,,82.164.231.209
Oslo,Norway,Oslo County,2022-01-31T09:42:47.000+0100,2,true,false,false,false,59.95500,10.85900,,,46.46.204.217
Oslo,Norway,Oslo County,2022-01-31T09:40:36.000+0100,4,true,false,false,false,59.95500,10.85900,,,84.209.190.152
Bryne,Norway,Rogaland,2022-01-31T09:40:21.000+0100,2,true,false,false,false,58.71340,5.67610,,,79.160.212.119
,Spain,,2022-01-31T09:40:11.000+0100,4,true,false,true,false,40.41720,-3.68400,,,185.47.213.109
Rykkin,Norway,Viken,2022-01-31T09:34:53.000+0100,2,true,false,false,false,59.93190,10.48140,,,88.88.220.126
Oslo,Norway,Oslo County,2022-01-31T09:34:47.000+0100,1,true,false,false,false,59.95500,10.85900,,,46.15.6.238
Fredrikstad,Norway,Viken,2022-01-31T09:33:05.000+0100,11,true,false,false,false,59.21830,10.95690,,,81.167.43.10
Jar,Norway,Viken,2022-01-31T09:32:12.000+0100,1,true,false,false,false,59.92720,10.62560,,,109.189.66.247
Oslo,Norway,Oslo County,2022-01-31T09:31:48.000+0100,21,true,false,false,false,59.95500,10.85900,,,82.164.126.85
Oslo,Norway,Oslo County,2022-01-31T09:30:58.000+0100,28,true,false,false,false,59.95500,10.85900,,,77.40.212.11
Oslo,Norway,Oslo County,2022-01-31T09:25:53.000+0100,1,true,false,false,false,59.95500,10.85900,,,84.208.174.202
Oslo,Norway,Oslo County,2022-01-31T09:25:22.000+0100,1,true,false,false,false,59.95500,10.85900,,,89.8.178.73
Drammen,Norway,Viken,2022-01-31T09:23:17.000+0100,1,true,false,false,false,59.74830,10.16030,,,109.247.29.83
Gjettum,Norway,Viken,2022-01-31T09:22:10.000+0100,7,true,false,false,false,59.90820,10.52160,,,82.164.5.79
Oslo,Norway,Oslo County,2022-01-31T09:20:13.000+0100,1,true,false,false,false,59.95500,10.85900,,,89.8.156.88
Billingstad,Norway,Viken,2022-01-31T09:20:05.000+0100,9,true,false,false,false,59.87770,10.47870,,,85.164.101.238
Jar,Norway,Viken,2022-01-31T09:17:44.000+0100,30,true,false,false,false,59.92720,10.62560,,,109.189.65.139
Oslo,Norway,Oslo County,2022-01-31T09:16:10.000+0100,1,true,false,false,false,59.95500,10.85900,,,46.212.105.244
Kongsberg,Norway,Viken,2022-01-31T09:16:05.000+0100,2,true,false,false,false,59.70560,9.68920,,,31.204.72.142
Jar,Norway,Viken,2022-01-31T09:15:26.000+0100,7,true,false,false,false,59.92720,10.62560,,,95.34.55.160
Oslo,Norway,Oslo County,2022-01-31T09:15:06.000+0100,2,true,false,false,false,59.95500,10.85900,,,158.39.193.237
Oslo,Norway,Oslo County,2022-01-31T09:14:24.000+0100,1,true,false,false,false,59.95500,10.85900,,,89.8.219.216
Oslo,Norway,Oslo County,2022-01-31T09:14:06.000+0100,1,true,false,false,false,59.95500,10.85900,,,77.16.48.14
Oslo,Norway,Oslo County,2022-01-31T09:14:00.000+0100,4,true,false,false,false,59.86360,10.79610,,,172.226.26.20
Jar,Norway,Viken,2022-01-31T09:12:31.000+0100,2,true,false,false,false,59.92720,10.62560,,,88.95.128.134
Oslo,Norway,Oslo County,2022-01-31T09:10:08.000+0100,3,true,false,false,false,59.95500,10.85900,,,37.191.246.144
Asker,Norway,Viken,2022-01-31T09:07:58.000+0100,1,true,false,false,false,59.83480,10.42770,,,84.213.220.163
Oslo,Norway,Oslo County,2022-01-31T09:06:29.000+0100,8,true,false,false,false,59.95500,10.85900,,,84.213.37.111
Rykkin,Norway,Viken,2022-01-31T09:05:57.000+0100,2,true,false,false,false,59.93190,10.48140,,,88.88.220.251
