City,Country,Region,_time,count,isIP,isIPv6,isMissingLocation,isPrivateOrReserved,lat,lon,modifiedByPython,modifiedByPythonTimestamp,src
Oslo,Norway,Oslo County,2022-02-02T15:36:06,3,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,84.209.137.137
,,,2022-01-31T10:31:36.000+0100,3372,true,false,true,false,,,,,169.254.1.140
Oslo,Norway,Oslo County,2022-02-02T15:36:06,6,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,51.175.139.94
Sandvika,Norway,Viken,2022-02-02T15:36:06,1037,true,false,false,false,59.8966,10.4979,true,2022-02-02T15:36:06,193.161.48.4
Oslo,Norway,Oslo County,2022-02-02T15:36:06,2,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,80.203.58.146
Oslo,Norway,Oslo County,2022-02-02T15:36:06,12,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,51.175.225.205
Oslo,Norway,Oslo County,2022-02-02T15:36:06,2,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,89.8.175.247
Slependen,Norway,Viken,2022-02-02T15:36:06,1,true,false,false,false,59.8862,10.4829,true,2022-02-02T15:36:06,31.45.30.145
Oslo,Norway,Oslo County,2022-02-02T15:36:06,1,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,82.102.27.99
Oslo,Norway,Oslo County,2022-02-02T15:36:06,5,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,193.91.166.42
Oslo,Norway,Oslo County,2022-02-02T15:36:06,7,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,81.191.175.196
Oslo,Norway,Oslo County,2022-02-02T15:36:06,1,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,158.39.193.97
,,,2022-01-31T10:17:15.000+0100,3071,true,false,true,false,,,,,169.254.1.236
,,,2022-01-31T10:17:03.000+0100,21,true,false,true,false,,,,,169.254.6.7
Oslo,Norway,Oslo County,2022-02-02T15:36:06,6,true,false,true,false,59.955,10.859,true,2022-02-02T15:36:06,46.15.44.162
,,,2022-01-31T10:13:25.000+0100,25,true,false,true,false,,,,,169.254.4.94
,,,2022-01-31T10:12:53.000+0100,15,true,false,true,false,,,,,169.254.3.21
,,,2022-01-31T10:12:25.000+0100,2394,true,false,true,false,,,,,169.254.2.191
Oslo,Norway,Oslo County,2022-02-02T15:36:06,1,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,46.46.193.109
Rykkin,Norway,Viken,2022-02-02T15:36:06,1,true,false,false,false,59.9281,10.4965,true,2022-02-02T15:36:06,88.88.51.157
,,,2022-01-31T10:08:53.000+0100,18,true,false,true,false,,,,,169.254.5.97
Hovik verk,Norway,Viken,2022-02-02T15:36:06,2,true,false,false,false,59.8922,10.5799,true,2022-02-02T15:36:06,51.175.97.247
Fornebu,Norway,Viken,2022-02-02T15:36:06,2,true,false,true,false,59.8991,10.6294,true,2022-02-02T15:36:06,77.16.69.39
Oslo,Norway,Oslo County,2022-02-02T15:36:06,1,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,37.120.203.190
Oslo,Norway,Oslo County,2022-02-02T15:36:06,9,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,84.213.206.78
Blystadlia,Norway,Viken,2022-02-02T15:36:06,7,true,false,false,false,59.9341,11.0466,true,2022-02-02T15:36:06,80.212.231.168
Oslo,Norway,Oslo County,2022-02-02T15:36:06,20,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,81.191.170.208
Oslo,Norway,Oslo County,2022-02-02T15:36:06,28,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,148.83.251.25
Gjettum,Norway,Viken,2022-02-02T15:36:06,2,true,false,false,false,59.9082,10.5216,true,2022-02-02T15:36:06,88.95.78.176
Oslo,Norway,Oslo County,2022-02-02T15:36:06,8,true,false,false,false,59.955,10.859,true,2022-02-02T15:36:06,84.213.44.187
Fetsund,Norway,Viken,2022-02-02T15:36:06,3,true,false,false,false,59.9315,11.1728,true,2022-02-02T15:36:06,195.139.196.61
Hasle,Norway,Viken,2022-02-02T15:36:06,2,true,false,false,false,59.9335,10.5837,true,2022-02-02T15:36:06,46.9.42.225
